Timestamp,Source IP Address,Attack Type,Action Taken,Severity Level,event_type,Port
2023-05-30 06:33:58,103.216.15.12,Malware,Allowed,Low,Non-Cyber,8080
2020-08-26 07:08:30,78.199.217.198,Malware,Blocked,Low,Non-Cyber,21
2022-11-13 08:23:25,63.79.210.48,DDoS,Allowed,Low,Cyber,21
2023-07-02 10:38:46,163.42.196.10,Malware,Blocked,Low,Non-Cyber,21
2023-07-16 13:11:07,71.166.185.76,DDoS,Blocked,Low,Non-Cyber,21
2022-10-28 13:14:27,198.102.5.160,Malware,Allowed,Medium,Cyber,443
2022-05-16 17:55:43,97.253.103.59,DDoS,Allowed,Low,Non-Cyber,22
2023-02-12 07:13:17,11.48.99.245,Intrusion,Allowed,Low,Non-Cyber,21
2023-06-27 11:02:56,49.32.208.167,Intrusion,Blocked,Low,Non-Cyber,8080
2021-08-15 22:29:04,114.109.149.113,Malware,Blocked,Medium,Cyber,80
2022-07-20 13:28:50,177.21.83.200,Malware,Allowed,Medium,Cyber,22
2022-06-26 15:15:50,92.4.25.171,Malware,Allowed,Low,Cyber,8080
2020-09-30 21:35:31,57.91.207.84,Intrusion,Blocked,Medium,Cyber,22
2021-01-13 02:30:18,80.28.21.123,Malware,Allowed,Low,Non-Cyber,443
2023-02-01 13:17:17,54.163.130.178,Malware,Allowed,High,Cyber,22
2023-09-15 20:35:21,130.163.192.252,Intrusion,Allowed,Medium,Cyber,80
2023-04-18 16:46:46,4.255.187.165,DDoS,Allowed,High,Cyber,80
2023-02-21 07:02:55,212.164.196.41,DDoS,Allowed,Low,Non-Cyber,8080
2020-12-29 02:50:47,119.101.120.119,DDoS,Allowed,High,Cyber,8080
2020-07-27 00:00:53,104.176.150.78,DDoS,Allowed,High,Cyber,21
2021-07-16 20:45:42,116.61.253.182,Malware,Blocked,Medium,Cyber,80
2022-04-29 14:46:46,214.247.90.42,Malware,Blocked,Low,Cyber,8080
2023-02-24 06:39:25,57.7.171.107,DDoS,Allowed,High,Cyber,21
2023-09-15 15:43:03,46.236.76.78,Malware,Allowed,Low,Non-Cyber,21
2023-10-06 06:53:51,71.41.31.239,DDoS,Blocked,Low,Non-Cyber,22
2023-10-06 02:37:35,128.47.86.24,Intrusion,Allowed,Low,Non-Cyber,8080
2021-01-31 03:12:04,182.232.245.98,Malware,Blocked,High,Cyber,443
2020-08-28 09:54:45,208.44.127.159,DDoS,Allowed,Low,Cyber,8080
2021-05-29 15:33:51,197.137.61.248,Intrusion,Blocked,Low,Cyber,8080
2022-05-30 18:26:12,69.60.34.24,Intrusion,Allowed,Low,Non-Cyber,8080
2022-08-02 19:15:37,110.207.118.63,DDoS,Allowed,Low,Non-Cyber,21
2023-01-10 12:29:37,188.40.103.145,DDoS,Allowed,Low,Non-Cyber,8080
2020-10-15 19:05:37,99.8.190.190,Malware,Allowed,Medium,Cyber,22
2021-06-09 18:55:30,128.62.6.140,Malware,Blocked,Low,Non-Cyber,8080
2020-07-08 08:08:54,211.43.37.93,DDoS,Allowed,Low,Non-Cyber,22
2023-09-23 19:07:33,203.171.62.228,Intrusion,Blocked,Low,Non-Cyber,80
2022-05-22 03:10:27,115.120.220.179,DDoS,Blocked,Medium,Cyber,443
2022-06-04 20:45:18,140.29.40.43,Malware,Allowed,Low,Cyber,443
2022-12-29 23:42:12,76.128.95.185,Malware,Allowed,Medium,Cyber,22
2023-03-14 07:27:32,118.23.216.0,Intrusion,Blocked,Medium,Cyber,8080
2021-02-13 16:45:36,212.153.110.146,DDoS,Allowed,Low,Non-Cyber,443
2021-05-23 16:29:26,6.64.251.220,DDoS,Allowed,Low,Non-Cyber,21
2022-12-01 08:47:07,170.112.189.99,DDoS,Allowed,Low,Non-Cyber,8080
2022-07-21 20:33:30,50.30.140.36,Intrusion,Blocked,Low,Non-Cyber,22
2023-06-09 05:57:13,194.120.14.24,Malware,Allowed,Low,Non-Cyber,80
2020-04-10 18:21:31,69.29.17.248,DDoS,Allowed,Low,Cyber,80
2023-05-16 13:01:56,170.211.138.30,Malware,Blocked,Low,Non-Cyber,443
2020-10-08 04:34:34,107.247.253.62,Intrusion,Blocked,High,Cyber,22
2021-08-20 14:42:57,118.175.170.127,Malware,Blocked,Medium,Cyber,80
2021-05-08 04:56:17,16.65.249.237,DDoS,Allowed,Low,Non-Cyber,22
2023-01-18 01:12:24,122.130.86.58,DDoS,Allowed,Low,Cyber,22
2021-04-16 12:48:40,193.45.37.6,DDoS,Blocked,High,Cyber,80
2022-04-28 14:18:26,68.123.14.202,DDoS,Blocked,Low,Non-Cyber,22
2023-02-20 06:41:55,19.14.168.54,Intrusion,Allowed,Low,Non-Cyber,21
2020-12-13 02:43:04,168.159.245.149,Malware,Allowed,Low,Non-Cyber,80
2022-08-20 07:46:57,22.96.76.59,Malware,Allowed,Low,Cyber,443
2022-05-23 04:50:39,163.93.76.114,Intrusion,Blocked,Low,Cyber,80
2020-01-12 11:01:33,37.225.176.201,DDoS,Blocked,Low,Non-Cyber,443
2021-03-24 09:50:44,123.233.44.106,Malware,Allowed,Low,Cyber,443
2020-01-12 19:33:29,158.145.58.183,Intrusion,Allowed,Low,Non-Cyber,80
2021-10-08 21:42:19,193.109.94.146,DDoS,Allowed,Low,Cyber,443
2022-08-17 19:20:40,122.108.169.214,Malware,Allowed,Low,Non-Cyber,80
2022-08-17 02:04:53,64.58.36.254,DDoS,Blocked,Low,Cyber,443
2020-03-10 04:31:21,61.217.244.146,Intrusion,Allowed,Low,Non-Cyber,80
2022-11-20 17:53:28,21.23.245.141,DDoS,Allowed,Low,Cyber,80
2022-11-17 22:12:24,183.2.17.209,Intrusion,Allowed,Medium,Cyber,8080
2022-01-08 09:48:37,89.234.123.19,Malware,Allowed,High,Cyber,80
2020-03-03 01:54:03,157.164.90.122,Intrusion,Allowed,Low,Cyber,443
2021-02-15 05:17:05,123.185.30.222,DDoS,Allowed,Low,Non-Cyber,22
2020-09-13 01:49:45,185.157.240.136,Malware,Allowed,Low,Non-Cyber,443
2022-12-25 07:20:06,195.177.54.54,Intrusion,Blocked,Low,Non-Cyber,443
2021-01-27 22:49:34,221.219.44.103,Malware,Allowed,Medium,Cyber,22
2023-05-30 17:14:15,86.165.141.178,Malware,Blocked,Low,Non-Cyber,443
2020-06-30 01:24:54,70.228.121.60,Malware,Allowed,Medium,Cyber,80
2020-07-07 03:50:24,201.86.3.78,Intrusion,Allowed,High,Cyber,8080
2020-03-18 07:33:47,61.152.211.241,Intrusion,Blocked,Low,Non-Cyber,21
2020-03-09 20:24:39,46.229.143.176,DDoS,Allowed,Low,Cyber,443
2023-07-07 19:15:20,38.130.51.208,Intrusion,Allowed,Low,Cyber,21
2022-12-25 22:00:40,27.57.214.142,Intrusion,Allowed,High,Cyber,80
2021-04-12 15:06:50,86.45.110.141,Malware,Blocked,Medium,Cyber,21
2021-04-20 21:58:18,29.187.204.185,Intrusion,Allowed,Low,Cyber,80
2023-06-06 06:31:08,168.230.63.34,Intrusion,Allowed,Low,Cyber,21
2021-07-11 05:34:04,221.187.162.221,Malware,Allowed,Low,Cyber,443
2020-12-24 16:18:22,199.219.72.118,Intrusion,Allowed,Low,Non-Cyber,21
2023-09-13 02:42:05,44.24.112.64,Intrusion,Blocked,High,Cyber,443
2023-01-23 09:24:38,107.70.70.221,Malware,Allowed,Low,Non-Cyber,443
2022-04-05 01:54:33,118.36.129.69,Intrusion,Blocked,Low,Non-Cyber,80
2020-09-30 07:06:33,76.111.202.72,Intrusion,Allowed,Low,Non-Cyber,8080
2023-08-06 09:00:12,148.126.105.201,DDoS,Blocked,Low,Non-Cyber,443
2022-11-20 04:12:04,130.204.139.35,Malware,Allowed,Low,Non-Cyber,8080
2020-03-17 07:02:13,100.247.164.6,Malware,Allowed,Low,Non-Cyber,80
2020-08-08 23:19:34,88.204.79.6,Malware,Blocked,Low,Non-Cyber,8080
2022-03-21 14:41:34,149.253.227.55,Malware,Allowed,Low,Non-Cyber,80
2023-02-13 19:15:26,160.148.168.183,Malware,Allowed,Low,Cyber,80
2022-10-13 04:35:33,75.160.180.145,Intrusion,Allowed,Medium,Cyber,8080
