Timestamp,Traffic Type,Action Taken,Anomaly Scores,status_code,response_time_ms,event_type
2023-05-30 06:33:58,HTTP,Allowed,28.67,500,800,Non-Cyber
2020-08-26 07:08:30,HTTP,Blocked,51.5,403,300,Non-Cyber
2022-11-13 08:23:25,HTTP,Allowed,87.42,500,800,Cyber
2023-07-02 10:38:46,HTTP,Blocked,15.79,403,300,Non-Cyber
2023-07-16 13:11:07,DNS,Blocked,0.52,403,300,Non-Cyber
2022-10-28 13:14:27,HTTP,Allowed,5.76,500,800,Cyber
2022-05-16 17:55:43,DNS,Allowed,31.55,500,800,Non-Cyber
2023-02-12 07:13:17,DNS,Allowed,54.05,500,800,Non-Cyber
2023-06-27 11:02:56,FTP,Blocked,56.34,403,300,Non-Cyber
2021-08-15 22:29:04,HTTP,Blocked,16.51,403,300,Cyber
2022-07-20 13:28:50,HTTP,Allowed,24.91,500,800,Cyber
2022-06-26 15:15:50,HTTP,Allowed,86.07,500,800,Cyber
2020-09-30 21:35:31,DNS,Blocked,74.2,403,300,Cyber
2021-01-13 02:30:18,HTTP,Allowed,62.14,500,800,Non-Cyber
2023-02-01 13:17:17,DNS,Allowed,72.65,500,800,Cyber
2023-09-15 20:35:21,DNS,Allowed,91.56,500,800,Cyber
2023-04-18 16:46:46,HTTP,Allowed,43.83,500,800,Cyber
2023-02-21 07:02:55,HTTP,Allowed,40.46,500,800,Non-Cyber
2020-12-29 02:50:47,DNS,Allowed,44.75,500,800,Cyber
2020-07-27 00:00:53,HTTP,Allowed,13.19,500,800,Cyber
2021-07-16 20:45:42,DNS,Blocked,89.99,403,300,Cyber
2022-04-29 14:46:46,DNS,Blocked,86.91,403,300,Cyber
2023-02-24 06:39:25,DNS,Allowed,72.25,500,800,Cyber
2023-09-15 15:43:03,HTTP,Allowed,96.27,500,800,Non-Cyber
2023-10-06 06:53:51,DNS,Blocked,67.43,403,300,Non-Cyber
2023-10-06 02:37:35,DNS,Allowed,89.86,500,800,Non-Cyber
2021-01-31 03:12:04,FTP,Blocked,87.23,403,300,Cyber
2020-08-28 09:54:45,HTTP,Allowed,44.4,500,800,Cyber
2021-05-29 15:33:51,HTTP,Blocked,45.42,403,300,Cyber
2022-05-30 18:26:12,DNS,Allowed,25.7,500,800,Non-Cyber
2022-08-02 19:15:37,HTTP,Allowed,69.2,500,800,Non-Cyber
2023-01-10 12:29:37,HTTP,Allowed,77.06,500,800,Non-Cyber
2020-10-15 19:05:37,DNS,Allowed,3.87,500,800,Cyber
2021-06-09 18:55:30,DNS,Blocked,25.93,403,300,Non-Cyber
2020-07-08 08:08:54,FTP,Allowed,60.57,500,800,Non-Cyber
2023-09-23 19:07:33,FTP,Blocked,67.73,403,300,Non-Cyber
2022-05-22 03:10:27,DNS,Blocked,75.16,403,300,Cyber
2022-06-04 20:45:18,FTP,Allowed,75.46,500,800,Cyber
2022-12-29 23:42:12,HTTP,Allowed,49.03,500,800,Cyber
2023-03-14 07:27:32,DNS,Blocked,85.28,403,300,Cyber
2021-02-13 16:45:36,DNS,Allowed,6.44,500,800,Non-Cyber
2021-05-23 16:29:26,DNS,Allowed,22.17,500,800,Non-Cyber
2022-12-01 08:47:07,HTTP,Allowed,29.66,500,800,Non-Cyber
2022-07-21 20:33:30,FTP,Blocked,10.75,403,300,Non-Cyber
2023-06-09 05:57:13,DNS,Allowed,42.14,500,800,Non-Cyber
2020-04-10 18:21:31,FTP,Allowed,77.73,500,800,Cyber
2023-05-16 13:01:56,DNS,Blocked,97.82,403,300,Non-Cyber
2020-10-08 04:34:34,HTTP,Blocked,83.36,403,300,Cyber
2021-08-20 14:42:57,DNS,Blocked,40.71,403,300,Cyber
2021-05-08 04:56:17,HTTP,Allowed,1.33,500,800,Non-Cyber
2023-01-18 01:12:24,HTTP,Allowed,56.92,500,800,Cyber
2021-04-16 12:48:40,HTTP,Blocked,0.9,403,300,Cyber
2022-04-28 14:18:26,DNS,Blocked,77.7,403,300,Non-Cyber
2023-02-20 06:41:55,FTP,Allowed,67.56,500,800,Non-Cyber
2020-12-13 02:43:04,HTTP,Allowed,91.82,500,800,Non-Cyber
2022-08-20 07:46:57,FTP,Allowed,50.13,500,800,Cyber
2022-05-23 04:50:39,HTTP,Blocked,41.53,403,300,Cyber
2020-01-12 11:01:33,HTTP,Blocked,91.21,403,300,Non-Cyber
2021-03-24 09:50:44,HTTP,Allowed,82.8,500,800,Cyber
2020-01-12 19:33:29,DNS,Allowed,78.85,500,800,Non-Cyber
2021-10-08 21:42:19,HTTP,Allowed,50.69,500,800,Cyber
